*ome,P*nti,Vittorie,Pole Position,Squadra,Nazionalita
Lando Norris,423,7,7,McLaren,GBR
Max Verstappen,421,8,8,Red Bull,NLD
Oscar Piastri,410,7,6,McLaren,AUS
George Russell,319,2,3,Mercedes,GBR
Charles Leclerc,242,0,0,Ferrari,MCO
Lewis Hamilton,156,0,0,Ferrari,GBR
Kimi Antonelli,150,0,0,Mercedes,ITA
Alexander Albon,73,0,0,Williams,THA
Carlos Sainz,64,0,0,Williams,ESP
Fernando Alonso,56,0,0,Aston Martin,ESP
Nome,Punti,Vittorie,Pole Position,Squadra,Nazionalita scritto su file di testo
Nome,Punti,Vittorie,Pole Position,Squadra,Nazionalita scritto su file di testo
